Year,Industry_aggregation_NZSIOC,Industry_name_NZSIOC,Units,Variable_code,Variable_name,Variable_category,Value,Industry_code_ANZSIC06
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars (millions),H03,Sales of other goods and services,Financial performance,1416,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars (millions),H05,"Interest, dividends and donations",Financial performance,C,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,C,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars (millions),H07,Non-operating income,Financial performance,5,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars (millions),H08,Total expenditure,Financial performance,1729,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars (millions),H09,Interest and donations,Financial performance,18,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars (millions),H10,Indirect taxes,Financial performance,6,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars (millions),H11,Depreciation,Financial performance,44,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars (millions),H12,Salaries and wages paid,Financial performance,309,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars (millions),H13,Redundancy and severance,Financial performance,1,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,297,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars (millions),H18,Other Purchases and operating expenses,Financial performance,1044,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars (millions),H20,Non-operating expenses,Financial performance,10,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars (millions),H21,Opening stocks,Financial performance,326,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars (millions),H22,Closing stocks,Financial performance,348,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars (millions),H23,Surplus before income tax,Financial performance,185,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars (millions),H24,Total assets,Financial position,1806,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars (millions),H25,Current assets,Financial position,962,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars (millions),H26,Fixed tangible assets,Financial position,374,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars (millions),H27,Additions to fixed assets,Financial position,80,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars (millions),H28,Disposals of fixed assets,Financial position,22,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars (millions),H29,Other assets,Financial position,470,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars (millions),H30,Total equity and liabilities,Financial position,1806,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars (millions),H31,Shareholders funds or owners equity,Financial position,897,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars (millions),H32,Current liabilities,Financial position,609,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars (millions),H33,Other liabilities,Financial position,299,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars,H34,Total income per employee count,Financial ratios,403800,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Dollars,H35,Surplus per employee count,Financial ratios,39400,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Percentage,H36,Current ratio,Financial ratios,158,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Percentage,H37,Quick ratio,Financial ratios,101,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Percentage,H38,Margin on sales of goods for resale,Financial ratios,34,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Percentage,H39,Return on equity,Financial ratios,21,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Percentage,H40,Return on total assets,Financial ratios,10,"ANZSIC06 groups C184, C185, and C189"
2018,Level 4,"Pharmaceutical, Cleaning and Other Chemical Manufacturing",Percentage,H41,Liabilities structure,Financial ratios,50,"ANZSIC06 groups C184, C185, and C189"
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H01,Total income,Financial performance,3788,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H02,Sales of goods not further processed,Financial performance,365,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H03,Sales of other goods and services,Financial performance,3397,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,14,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,0,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H07,Non-operating income,Financial performance,11,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H08,Total expenditure,Financial performance,3393,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H09,Interest and donations,Financial performance,24,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H10,Indirect taxes,Financial performance,18,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H11,Depreciation,Financial performance,105,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H12,Salaries and wages paid,Financial performance,776,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H13,Redundancy and severance,Financial performance,1,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,221,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H18,Other Purchases and operating expenses,Financial performance,2207,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H20,Non-operating expenses,Financial performance,42,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H21,Opening stocks,Financial performance,523,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H22,Closing stocks,Financial performance,536,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H23,Surplus before income tax,Financial performance,407,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H24,Total assets,Financial position,3741,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H25,Current assets,Financial position,1665,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H26,Fixed tangible assets,Financial position,864,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H27,Additions to fixed assets,Financial position,117,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H28,Disposals of fixed assets,Financial position,14,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H29,Other assets,Financial position,1212,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H30,Total equity and liabilities,Financial position,3741,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,2190,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H32,Current liabilities,Financial position,969,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H33,Other liabilities,Financial position,583,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars,H34,Total income per employee count,Financial ratios,306100,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Dollars,H35,Surplus per employee count,Financial ratios,32900,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Percentage,H36,Current ratio,Financial ratios,172,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Percentage,H37,Quick ratio,Financial ratios,117,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Percentage,H38,Margin on sales of goods for resale,Financial ratios,39,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Percentage,H39,Return on equity,Financial ratios,19,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Percentage,H40,Return on total assets,Financial ratios,11,ANZSIC06 groups C191 and C192
2018,Level 3,Polymer Product and Rubber Product Manufacturing,Percentage,H41,Liabilities structure,Financial ratios,59,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H01,Total income,Financial performance,3788,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H02,Sales of goods not further processed,Financial performance,365,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H03,Sales of other goods and services,Financial performance,3397,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,14,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,0,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H07,Non-operating income,Financial performance,11,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H08,Total expenditure,Financial performance,3393,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H09,Interest and donations,Financial performance,24,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H10,Indirect taxes,Financial performance,18,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H11,Depreciation,Financial performance,105,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H12,Salaries and wages paid,Financial performance,776,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H13,Redundancy and severance,Financial performance,1,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,221,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H18,Other Purchases and operating expenses,Financial performance,2207,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H20,Non-operating expenses,Financial performance,42,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H21,Opening stocks,Financial performance,523,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H22,Closing stocks,Financial performance,536,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H23,Surplus before income tax,Financial performance,407,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H24,Total assets,Financial position,3741,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H25,Current assets,Financial position,1665,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H26,Fixed tangible assets,Financial position,864,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H27,Additions to fixed assets,Financial position,117,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H28,Disposals of fixed assets,Financial position,14,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H29,Other assets,Financial position,1212,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H30,Total equity and liabilities,Financial position,3741,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,2190,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H32,Current liabilities,Financial position,969,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars (millions),H33,Other liabilities,Financial position,583,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars,H34,Total income per employee count,Financial ratios,306100,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Dollars,H35,Surplus per employee count,Financial ratios,32900,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Percentage,H36,Current ratio,Financial ratios,172,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Percentage,H37,Quick ratio,Financial ratios,117,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Percentage,H38,Margin on sales of goods for resale,Financial ratios,39,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Percentage,H39,Return on equity,Financial ratios,19,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Percentage,H40,Return on total assets,Financial ratios,11,ANZSIC06 groups C191 and C192
2018,Level 4,Polymer Product and Rubber Product Manufacturing,Percentage,H41,Liabilities structure,Financial ratios,59,ANZSIC06 groups C191 and C192
2018,Level 3,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H01,Total income,Financial performance,3484,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H02,Sales of goods not further processed,Financial performance,400,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H03,Sales of other goods and services,Financial performance,3068,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,8,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,0,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H07,Non-operating income,Financial performance,8,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H08,Total expenditure,Financial performance,3102,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H09,Interest and donations,Financial performance,40,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H10,Indirect taxes,Financial performance,17,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H11,Depreciation,Financial performance,125,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H12,Salaries and wages paid,Financial performance,558,"ANZSIC06 groups C201, C202, C203, and C209"
2018,Level 3,Non-Metallic Mineral Product Manufacturing,Dollars (millions),H13,Redundancy and severance,Financial performance,C,"ANZSIC06 groups C201, C202, C203, and C209"
